id action freq period
23 A70 P1 9-12
22 A98 P7 1-3
16 A64 P10 3-5
13 A93 P3 3-5
16 A37 P5 3-5
7 A15 P6 9-12
15 A32 P6 9-12
18 A27 P8 3-5
6 A61 P6 1-3
9 A24 P2 1-3
30 A48 P4 1-3
24 A15 P10 3-5
4 A73 P6 1-3
28 A87 P1 9-12
24 A88 P6 3-5
20 A36 P1 3-5
2 A79 P1 1-3
25 A45 P3 1-3
18 A75 P9 9-12
13 A6 P9 9-12
19 A4 P7 3-5
24 A85 P9 3-5
21 A56 P5 9-12
17 A5 P10 9-12
10 A58 P2 9-12
13 A82 P1 3-5
23 A24 P1 3-5
26 A10 P1 3-5
30 A50 P8 1-3
30 A17 P6 3-5
7 A3 P10 9-12
18 A5 P3 9-12
19 A99 P2 9-12
22 A49 P9 9-12
29 A59 P10 3-5
21 A32 P5 9-12
24 A3 P8 1-3
23 A67 P7 1-3
30 A7 P3 9-12
2 A22 P1 1-3
28 A52 P10 9-12
19 A51 P9 3-5
13 A2 P5 3-5
15 A99 P4 9-12
18 A72 P7 1-3
6 A33 P6 1-3
5 A92 P4 3-5
17 A9 P4 3-5
14 A26 P7 9-12
11 A33 P10 1-3
16 A37 P2 3-5
4 A81 P10 3-5
22 A75 P4 3-5
12 A52 P2 9-12
17 A12 P4 9-12
30 A25 P7 3-5
19 A55 P6 1-3
24 A4 P5 3-5
12 A54 P9 3-5
11 A56 P6 3-5
29 A30 P6 3-5
10 A95 P4 3-5
24 A62 P8 3-5
25 A13 P5 1-3
24 A2 P7 3-5
28 A30 P4 9-12
26 A36 P5 3-5
30 A96 P6 3-5
18 A86 P9 3-5
7 A76 P5 3-5
20 A59 P6 3-5
2 A85 P6 9-12
6 A90 P9 1-3
2 A33 P1 1-3
4 A0 P1 9-12
12 A16 P4 3-5
9 A61 P10 3-5
8 A99 P4 3-5
30 A94 P2 1-3
28 A72 P6 3-5
18 A71 P9 3-5
2 A85 P5 3-5
11 A88 P1 9-12
17 A65 P10 3-5
19 A8 P9 3-5
5 A99 P8 9-12
29 A86 P2 3-5
4 A66 P10 3-5
3 A1 P7 3-5
25 A95 P4 3-5
11 A56 P4 3-5
21 A88 P1 1-3
29 A5 P3 9-12
5 A32 P1 1-3
28 A44 P8 9-12
24 A36 P4 3-5
3 A69 P1 9-12
14 A50 P8 3-5
30 A18 P3 9-12
2 A34 P10 3-5
18 A51 P3 1-3
6 A20 P5 9-12
17 A17 P10 9-12
8 A44 P5 3-5
29 A21 P2 9-12
22 A44 P8 3-5
2 A69 P4 3-5
24 A55 P4 1-3
25 A82 P8 3-5
28 A97 P2 9-12
15 A17 P3 3-5
21 A56 P3 9-12
29 A47 P9 1-3
25 A3 P10 3-5
4 A85 P3 3-5
1 A81 P4 3-5
30 A41 P6 1-3
12 A58 P5 9-12
2 A50 P4 1-3
23 A92 P9 3-5
9 A51 P8 3-5
16 A82 P6 3-5
22 A93 P2 1-3
21 A86 P9 9-12
12 A20 P7 1-3
25 A21 P8 3-5
26 A68 P9 1-3
27 A59 P9 9-12
12 A67 P3 9-12
20 A1 P6 3-5
8 A73 P9 1-3
11 A78 P3 9-12
14 A55 P10 1-3
5 A20 P1 9-12
29 A89 P10 9-12
2 A97 P7 1-3
5 A32 P6 9-12
24 A13 P8 1-3
17 A82 P3 3-5
29 A81 P6 9-12
10 A56 P9 3-5
10 A15 P10 1-3
9 A86 P9 9-12
26 A68 P9 9-12
16 A24 P9 1-3
11 A54 P8 9-12
11 A2 P5 3-5
25 A80 P4 9-12
25 A97 P3 3-5
12 A50 P8 1-3
16 A62 P5 3-5
18 A45 P2 3-5
22 A84 P4 3-5
12 A73 P2 9-12
29 A15 P10 3-5
8 A32 P6 1-3
14 A93 P8 3-5
30 A98 P10 1-3
24 A55 P1 3-5
21 A94 P5 3-5
15 A21 P4 1-3
5 A32 P8 9-12
28 A89 P10 9-12
5 A19 P1 9-12
28 A16 P8 9-12
25 A27 P1 3-5
12 A80 P10 9-12
15 A10 P9 3-5
18 A17 P3 3-5
19 A83 P6 9-12
3 A49 P3 3-5
18 A46 P1 1-3
2 A31 P8 9-12
7 A23 P2 1-3
9 A69 P6 1-3
18 A73 P2 9-12
20 A91 P10 9-12
7 A17 P2 3-5
16 A14 P10 3-5
5 A86 P9 1-3
20 A5 P7 9-12
13 A91 P3 9-12
13 A68 P8 9-12
10 A17 P6 3-5
1 A14 P9 9-12
13 A69 P10 1-3
20 A79 P4 1-3
25 A0 P6 9-12
4 A7 P7 1-3
28 A45 P8 1-3
22 A49 P1 1-3
24 A31 P9 3-5
13 A82 P6 3-5
28 A87 P1 1-3
3 A13 P6 1-3
2 A39 P7 3-5
26 A64 P5 3-5
18 A17 P10 3-5
23 A18 P2 3-5
10 A82 P10 1-3
3 A86 P4 1-3
23 A77 P7 1-3
17 A71 P4 9-12
18 A9 P5 3-5
6 A67 P7 3-5
23 A48 P3 1-3
13 A12 P1 3-5
25 A96 P6 1-3
19 A96 P6 3-5
12 A26 P1 3-5
2 A78 P3 1-3
14 A63 P3 3-5
28 A54 P7 9-12
5 A32 P6 9-12
12 A70 P1 9-12
14 A87 P1 9-12
5 A83 P8 3-5
1 A24 P3 3-5
28 A59 P8 3-5
13 A82 P6 3-5
20 A97 P7 3-5
27 A89 P5 3-5
27 A84 P7 1-3
26 A85 P8 1-3
13 A72 P8 3-5
22 A28 P5 1-3
19 A51 P3 3-5
29 A42 P8 1-3
27 A85 P3 1-3
8 A31 P8 3-5
27 A34 P8 3-5
10 A5 P2 9-12
10 A65 P10 3-5
17 A56 P6 9-12
21 A93 P8 3-5
23 A17 P8 3-5
10 A95 P4 9-12
7 A9 P6 1-3
24 A41 P7 1-3
26 A12 P9 9-12
3 A81 P10 9-12
27 A44 P8 3-5
12 A75 P10 3-5
5 A13 P9 1-3
24 A32 P10 9-12
5 A18 P8 9-12
24 A50 P3 1-3
20 A8 P9 3-5
14 A5 P8 1-3
9 A8 P7 1-3
26 A68 P10 1-3
17 A62 P2 1-3
19 A21 P7 3-5
15 A21 P1 3-5
7 A96 P6 3-5
23 A9 P6 1-3
24 A1 P4 1-3
3 A48 P7 1-3
25 A97 P4 3-5
11 A78 P10 3-5
1 A78 P3 1-3
5 A46 P3 1-3
19 A8 P3 9-12
24 A3 P5 1-3
29 A42 P8 1-3
24 A63 P1 1-3
29 A40 P9 9-12
1 A26 P9 3-5
11 A52 P1 3-5
8 A1 P2 3-5
30 A12 P8 1-3
9 A25 P2 9-12
12 A61 P10 9-12
29 A62 P2 9-12
15 A67 P7 3-5
5 A72 P7 1-3
20 A63 P4 1-3
1 A41 P10 1-3
30 A35 P9 3-5
23 A93 P7 1-3
24 A87 P4 9-12
10 A38 P6 9-12
2 A99 P7 9-12
2 A45 P10 3-5
1 A0 P8 3-5
29 A91 P10 3-5
19 A66 P10 3-5
19 A94 P1 3-5
20 A86 P6 9-12
16 A61 P2 3-5
28 A61 P5 9-12
15 A64 P10 3-5
18 A2 P5 1-3
11 A40 P9 9-12
1 A14 P8 9-12
9 A79 P1 3-5
26 A85 P10 1-3
14 A6 P6 9-12
23 A93 P3 1-3
3 A71 P7 3-5
16 A71 P7 9-12
12 A99 P10 9-12
30 A33 P1 1-3
23 A12 P4 3-5
28 A11 P5 3-5
18 A17 P2 3-5
11 A92 P7 3-5
29 A72 P6 1-3
14 A6 P5 1-3
24 A53 P6 9-12
18 A30 P4 9-12
7 A73 P2 9-12
30 A0 P5 1-3
11 A6 P8 3-5
19 A5 P3 9-12
19 A54 P5 9-12
27 A84 P2 3-5
4 A35 P2 3-5
17 A33 P2 3-5
6 A27 P7 3-5
10 A85 P1 1-3
21 A99 P1 9-12
16 A2 P7 1-3
4 A66 P8 9-12
7 A74 P9 3-5
24 A50 P8 1-3
25 A46 P3 1-3
10 A39 P10 1-3
7 A74 P6 1-3
29 A41 P9 9-12
9 A86 P7 9-12
2 A28 P4 1-3
13 A93 P3 9-12
21 A80 P3 9-12
21 A49 P10 1-3
28 A78 P3 9-12
24 A77 P4 1-3
29 A9 P1 3-5
15 A39 P4 9-12
16 A25 P8 3-5
20 A36 P9 3-5
13 A96 P6 1-3
22 A9 P6 9-12
23 A65 P10 3-5
23 A55 P1 1-3
30 A17 P6 9-12
11 A11 P6 9-12
9 A81 P10 9-12
17 A62 P10 9-12
30 A80 P3 1-3
24 A89 P10 1-3
7 A72 P6 3-5
14 A26 P1 3-5
2 A23 P10 3-5
16 A50 P8 3-5
7 A48 P2 9-12
1 A88 P8 1-3
23 A93 P3 3-5
20 A91 P6 9-12
10 A63 P3 1-3
17 A67 P10 3-5
11 A58 P7 3-5
28 A44 P3 9-12
29 A12 P4 3-5
22 A58 P9 9-12
16 A21 P1 9-12
6 A6 P4 3-5
21 A33 P1 1-3
2 A97 P10 1-3
5 A76 P4 3-5
4 A4 P7 9-12
19 A15 P10 3-5
3 A77 P8 1-3
26 A19 P1 1-3
23 A59 P10 3-5
1 A27 P10 9-12
7 A79 P1 3-5
18 A72 P8 1-3
26 A85 P6 1-3
13 A65 P10 9-12
13 A59 P10 3-5
13 A56 P4 3-5
22 A57 P10 3-5
12 A63 P9 1-3
16 A21 P1 9-12
1 A99 P1 9-12
14 A75 P3 1-3
18 A17 P2 1-3
16 A54 P9 9-12
9 A18 P9 9-12
13 A23 P2 3-5
14 A19 P1 1-3
8 A12 P2 3-5
11 A7 P7 3-5
24 A44 P4 9-12
16 A76 P9 3-5
4 A18 P3 3-5
15 A33 P2 1-3
3 A28 P10 1-3
7 A48 P3 1-3
29 A12 P5 9-12
1 A98 P8 1-3
4 A31 P6 1-3
17 A82 P9 1-3
11 A95 P9 9-12
1 A77 P6 9-12
21 A36 P8 3-5
9 A92 P4 9-12
22 A85 P10 3-5
13 A97 P1 1-3
9 A32 P5 3-5
25 A68 P4 9-12
28 A29 P10 9-12
8 A89 P8 1-3
18 A43 P2 9-12
7 A68 P2 3-5
23 A21 P2 3-5
13 A24 P2 3-5
11 A67 P9 3-5
13 A35 P1 1-3
20 A30 P4 3-5
22 A85 P2 3-5
13 A24 P8 3-5
2 A56 P10 3-5
16 A87 P2 9-12
9 A25 P9 9-12
4 A23 P1 1-3
30 A23 P2 1-3
1 A24 P9 9-12
11 A64 P3 1-3
22 A66 P4 3-5
26 A85 P8 9-12
4 A59 P10 3-5
6 A86 P7 3-5
3 A76 P3 1-3
22 A56 P5 1-3
9 A87 P2 9-12
29 A52 P1 3-5
23 A0 P5 3-5
6 A75 P1 1-3
22 A21 P1 3-5
24 A63 P3 1-3
25 A6 P4 9-12
5 A51 P4 1-3
29 A17 P9 3-5
30 A14 P7 9-12
16 A1 P9 3-5
22 A38 P8 9-12
17 A46 P6 1-3
15 A35 P4 3-5
5 A32 P6 9-12
9 A5 P3 9-12
20 A49 P3 1-3
25 A71 P4 3-5
2 A55 P6 1-3
19 A16 P8 3-5
3 A65 P10 3-5
14 A15 P3 3-5
19 A13 P4 1-3
27 A98 P1 1-3
15 A53 P4 3-5
3 A32 P9 3-5
6 A75 P8 9-12
2 A39 P1 3-5
3 A69 P10 9-12
18 A95 P5 3-5
12 A72 P3 1-3
28 A45 P3 3-5
15 A30 P7 3-5
16 A46 P1 1-3
25 A7 P6 3-5
13 A93 P1 3-5
29 A41 P6 9-12
16 A37 P3 9-12
10 A97 P5 9-12
12 A25 P6 3-5
20 A35 P2 3-5
6 A12 P7 9-12
29 A33 P8 3-5
8 A79 P5 3-5
15 A41 P9 1-3
10 A58 P9 9-12
18 A32 P3 9-12
5 A46 P3 1-3
11 A18 P3 9-12
3 A73 P2 9-12
30 A76 P7 3-5
6 A40 P7 3-5
19 A13 P2 1-3
8 A18 P6 9-12
26 A80 P10 1-3
18 A54 P3 9-12
9 A40 P1 3-5
21 A25 P2 9-12
3 A33 P1 1-3
4 A97 P5 3-5
14 A13 P8 3-5
30 A88 P1 1-3
27 A63 P5 1-3
4 A26 P6 3-5
9 A74 P10 3-5
25 A74 P8 9-12
27 A34 P8 3-5
11 A15 P10 3-5
19 A69 P10 3-5
9 A55 P3 9-12
5 A32 P1 9-12
19 A69 P9 1-3
11 A26 P9 9-12
18 A5 P3 9-12
28 A0 P4 3-5
16 A1 P1 3-5
9 A21 P7 3-5
23 A50 P3 1-3
8 A1 P7 1-3
14 A99 P1 3-5
30 A26 P5 3-5
24 A56 P6 3-5
9 A34 P9 3-5
29 A90 P4 9-12
6 A67 P9 9-12
18 A18 P3 3-5
29 A26 P4 3-5
11 A15 P9 3-5
10 A7 P5 9-12
8 A12 P7 9-12
21 A29 P10 1-3
5 A38 P8 1-3
29 A11 P8 3-5
7 A10 P1 3-5
12 A2 P10 1-3
8 A44 P8 9-12
15 A94 P5 3-5
22 A56 P7 3-5
15 A69 P10 9-12
4 A8 P6 1-3
11 A48 P5 1-3
6 A61 P9 3-5
7 A72 P9 3-5
4 A62 P5 3-5
28 A94 P9 3-5
11 A38 P8 3-5
22 A38 P8 1-3
22 A42 P9 9-12
27 A47 P5 3-5
21 A33 P7 3-5
28 A43 P1 9-12
28 A27 P7 1-3
30 A70 P1 9-12
29 A1 P7 3-5
3 A53 P6 1-3
6 A88 P1 3-5
28 A52 P1 1-3
18 A29 P9 1-3
26 A19 P1 9-12
9 A72 P3 9-12
2 A65 P10 3-5
30 A90 P1 1-3
9 A37 P10 3-5
6 A0 P8 9-12
15 A19 P1 3-5
11 A36 P1 3-5
23 A17 P2 3-5
17 A76 P3 9-12
7 A75 P1 9-12
17 A10 P10 9-12
6 A25 P8 3-5
19 A80 P4 9-12
9 A4 P7 3-5
27 A80 P9 9-12
20 A94 P5 3-5
12 A80 P7 9-12
15 A48 P7 9-12
13 A89 P10 1-3
7 A4 P4 3-5
30 A53 P4 9-12
14 A65 P8 3-5
8 A45 P4 1-3
25 A95 P6 1-3
25 A66 P7 1-3
12 A9 P5 1-3
8 A43 P10 3-5
21 A32 P1 9-12
6 A77 P10 1-3
22 A15 P8 1-3
6 A8 P2 1-3
13 A83 P2 1-3
19 A52 P3 1-3
25 A36 P6 3-5
24 A24 P9 1-3
30 A78 P8 9-12
12 A49 P3 3-5
22 A56 P6 3-5
29 A41 P7 1-3
9 A9 P6 1-3
20 A0 P5 9-12
14 A32 P9 1-3
10 A39 P10 3-5
18 A95 P4 3-5
14 A39 P1 9-12
28 A43 P6 1-3
8 A31 P8 1-3
13 A16 P8 3-5
8 A0 P3 9-12
21 A96 P6 3-5
4 A52 P1 1-3
14 A68 P10 1-3
9 A34 P10 1-3
5 A92 P4 1-3
6 A87 P5 9-12
30 A39 P9 9-12
22 A25 P1 3-5
29 A20 P6 3-5
8 A82 P10 3-5
19 A17 P7 3-5
17 A98 P9 9-12
20 A23 P5 3-5
5 A35 P2 3-5
21 A42 P8 3-5
26 A19 P1 1-3
7 A42 P6 9-12
29 A0 P5 1-3
4 A81 P10 9-12
23 A79 P10 1-3
12 A71 P7 1-3
29 A41 P4 1-3
21 A44 P7 9-12
20 A39 P8 9-12
15 A91 P5 9-12
8 A87 P10 9-12
15 A99 P6 3-5
20 A46 P4 9-12
11 A6 P7 9-12
24 A69 P7 1-3
13 A19 P3 3-5
28 A62 P10 3-5
29 A73 P4 1-3
21 A66 P5 1-3
30 A77 P6 9-12
19 A69 P10 3-5
3 A69 P8 3-5
16 A31 P9 9-12
16 A51 P4 3-5
26 A85 P9 1-3
25 A45 P3 9-12
11 A91 P9 3-5
16 A53 P9 3-5
21 A78 P3 9-12
30 A9 P4 1-3
10 A58 P10 1-3
15 A40 P6 3-5
1 A20 P6 9-12
22 A84 P3 3-5
7 A67 P6 1-3
22 A71 P7 3-5
28 A42 P3 9-12
29 A52 P3 1-3
12 A24 P4 9-12
7 A54 P4 9-12
13 A14 P9 1-3
17 A49 P3 3-5
21 A9 P4 9-12
12 A65 P5 3-5
26 A24 P5 3-5
14 A95 P7 3-5
11 A88 P1 1-3
28 A29 P8 9-12
10 A84 P5 9-12
11 A87 P5 3-5
18 A72 P7 1-3
16 A43 P9 1-3
3 A98 P7 1-3
28 A20 P8 1-3
14 A0 P1 1-3
23 A18 P4 9-12
21 A9 P2 9-12
28 A55 P9 3-5
25 A0 P8 1-3
23 A53 P5 1-3
23 A95 P4 3-5
6 A42 P1 3-5
30 A10 P1 9-12
28 A52 P8 3-5
4 A62 P7 9-12
4 A93 P5 3-5
27 A65 P1 3-5
8 A58 P10 1-3
27 A35 P2 3-5
20 A11 P6 3-5
26 A12 P7 9-12
8 A35 P4 3-5
23 A13 P4 1-3
27 A74 P6 3-5
6 A72 P7 9-12
4 A74 P6 9-12
30 A40 P10 9-12
24 A64 P3 1-3
14 A66 P5 3-5
27 A45 P2 9-12
4 A52 P3 1-3
26 A73 P4 9-12
3 A61 P10 3-5
16 A1 P6 3-5
21 A0 P8 1-3
26 A59 P4 9-12
13 A18 P1 3-5
8 A46 P2 1-3
3 A32 P10 3-5
29 A9 P2 9-12
27 A18 P8 9-12
6 A74 P1 1-3
3 A79 P1 1-3
23 A83 P1 3-5
29 A47 P3 9-12
3 A99 P5 9-12
13 A7 P6 3-5
11 A48 P4 9-12
5 A32 P3 1-3
20 A47 P3 9-12
8 A44 P9 3-5
2 A35 P9 3-5
24 A30 P10 3-5
21 A26 P3 3-5
25 A79 P3 3-5
18 A33 P10 1-3
16 A55 P6 3-5
25 A7 P10 9-12
27 A35 P2 3-5
11 A74 P9 9-12
17 A70 P8 3-5
11 A9 P7 9-12
23 A0 P8 9-12
11 A22 P8 3-5
9 A1 P2 3-5
18 A17 P5 3-5
23 A69 P6 3-5
18 A22 P4 3-5
1 A16 P8 9-12
23 A86 P9 1-3
21 A53 P4 3-5
19 A90 P5 1-3
21 A18 P6 1-3
1 A17 P10 1-3
26 A7 P7 9-12
10 A39 P8 3-5
25 A8 P2 3-5
11 A95 P1 9-12
12 A37 P2 3-5
24 A36 P1 9-12
7 A88 P10 1-3
23 A10 P9 3-5
10 A58 P10 1-3
26 A68 P8 3-5
6 A21 P10 9-12
21 A90 P5 1-3
17 A26 P1 1-3
15 A59 P10 3-5
29 A97 P9 1-3
6 A89 P10 9-12
29 A85 P10 1-3
12 A10 P4 1-3
3 A61 P1 9-12
23 A63 P3 1-3
23 A75 P1 1-3
26 A64 P3 3-5
21 A98 P2 1-3
2 A67 P5 9-12
29 A30 P5 3-5
12 A23 P8 3-5
1 A42 P7 9-12
25 A25 P8 3-5
4 A45 P8 9-12
29 A90 P9 1-3
19 A3 P10 9-12
19 A77 P5 1-3
25 A51 P4 9-12
11 A88 P1 3-5
30 A37 P3 3-5
24 A63 P3 1-3
8 A85 P1 9-12
27 A66 P7 3-5
21 A97 P9 1-3
3 A92 P2 1-3
17 A2 P6 3-5
13 A32 P6 3-5
28 A3 P10 9-12
11 A43 P9 9-12
26 A19 P7 3-5
24 A44 P8 3-5
22 A50 P2 9-12
18 A17 P2 3-5
29 A39 P1 3-5
18 A41 P10 1-3
14 A87 P2 9-12
5 A52 P1 1-3
22 A86 P10 1-3
30 A90 P5 3-5
20 A87 P2 9-12
30 A79 P1 9-12
8 A44 P3 9-12
10 A75 P7 3-5
25 A42 P6 3-5
29 A22 P7 1-3
14 A42 P9 9-12
7 A39 P10 3-5
26 A19 P1 3-5
11 A53 P8 3-5
15 A50 P8 1-3
24 A53 P5 9-12
9 A54 P10 1-3
24 A19 P8 1-3
23 A26 P1 1-3
17 A71 P2 3-5
17 A4 P7 3-5
18 A21 P9 1-3
15 A15 P3 3-5
2 A65 P3 1-3
3 A58 P3 9-12
18 A27 P10 3-5
15 A31 P10 3-5
5 A58 P2 1-3
20 A1 P1 3-5
10 A49 P3 3-5
14 A16 P2 1-3
18 A20 P10 9-12
8 A84 P5 3-5
29 A88 P1 3-5
5 A10 P10 9-12
1 A72 P7 1-3
18 A79 P10 3-5
9 A80 P5 3-5
8 A31 P3 3-5
24 A53 P6 9-12
18 A17 P7 3-5
4 A36 P4 9-12
24 A44 P8 1-3
25 A30 P5 9-12
4 A59 P10 3-5
2 A36 P6 3-5
3 A68 P8 9-12
9 A4 P3 3-5
29 A35 P2 3-5
14 A37 P3 3-5
10 A63 P2 9-12
5 A56 P6 3-5
18 A26 P2 3-5
28 A32 P5 1-3
8 A87 P1 3-5
10 A87 P6 1-3
24 A83 P3 3-5
8 A85 P5 3-5
28 A60 P7 9-12
21 A35 P8 9-12
20 A34 P8 1-3
17 A10 P9 3-5
19 A38 P3 9-12
22 A88 P5 3-5
18 A77 P8 1-3
27 A46 P7 3-5
18 A53 P6 9-12
24 A97 P5 9-12
16 A89 P5 3-5
12 A94 P9 3-5
11 A61 P1 9-12
4 A79 P1 1-3
2 A22 P8 1-3
14 A95 P9 1-3
13 A84 P1 3-5
7 A79 P1 1-3
7 A10 P2 9-12
23 A5 P5 9-12
8 A1 P8 3-5
29 A94 P10 3-5
12 A13 P6 1-3
2 A12 P6 9-12
2 A45 P2 9-12
29 A12 P4 3-5
21 A13 P8 1-3
9 A64 P1 1-3
20 A36 P9 3-5
21 A12 P8 9-12
29 A50 P8 1-3
22 A17 P2 3-5
3 A60 P8 1-3
13 A56 P8 1-3
22 A15 P5 3-5
26 A84 P2 1-3
13 A5 P3 9-12
14 A37 P8 1-3
10 A47 P4 3-5
17 A77 P2 1-3
27 A76 P9 9-12
22 A7 P6 9-12
6 A29 P1 9-12
2 A60 P2 3-5
1 A31 P10 9-12
8 A55 P7 3-5
16 A87 P7 3-5
26 A97 P1 9-12
20 A91 P6 9-12
21 A30 P8 3-5
16 A27 P7 3-5
24 A30 P6 9-12
2 A12 P4 9-12
28 A86 P9 1-3
2 A79 P3 1-3
22 A93 P7 1-3
18 A11 P2 1-3
10 A52 P6 1-3
3 A88 P2 9-12
22 A55 P3 1-3
11 A36 P1 3-5
25 A59 P4 3-5
8 A38 P8 3-5
27 A2 P10 3-5
18 A21 P1 9-12
20 A36 P6 3-5
12 A66 P2 3-5
15 A90 P9 3-5
12 A77 P6 3-5
23 A24 P6 3-5
12 A36 P1 1-3
29 A41 P6 1-3
25 A67 P9 3-5
12 A40 P8 3-5
14 A86 P9 1-3
26 A68 P8 9-12
3 A20 P9 1-3
7 A90 P9 1-3
26 A19 P10 9-12
9 A86 P9 1-3
28 A91 P10 1-3
22 A37 P4 3-5
10 A5 P8 9-12
27 A25 P6 1-3
5 A9 P8 1-3
10 A32 P3 3-5
10 A42 P4 9-12
4 A38 P2 3-5
24 A4 P1 1-3
3 A79 P10 1-3
30 A25 P1 9-12
7 A79 P7 1-3
27 A65 P5 3-5
27 A58 P10 1-3
23 A18 P3 3-5
3 A83 P10 1-3
24 A33 P6 1-3
23 A76 P7 3-5
16 A33 P2 1-3
3 A46 P9 1-3
1 A21 P7 9-12
16 A63 P2 1-3
11 A36 P1 1-3
14 A30 P1 3-5
6 A99 P5 9-12
18 A21 P1 1-3
18 A26 P5 1-3
23 A36 P3 3-5
16 A4 P4 3-5
2 A3 P4 9-12
21 A58 P4 1-3
19 A3 P10 3-5
2 A12 P10 1-3
14 A51 P3 9-12
29 A8 P8 9-12
23 A81 P10 9-12
29 A59 P3 3-5
7 A67 P2 3-5
14 A57 P8 9-12
2 A21 P1 9-12
5 A49 P4 1-3
27 A82 P6 3-5
30 A28 P1 1-3
14 A83 P7 3-5
16 A59 P1 3-5
17 A26 P8 3-5
26 A30 P4 9-12
18 A32 P5 1-3
25 A40 P6 1-3
18 A26 P2 3-5
15 A48 P9 9-12
13 A92 P10 1-3
5 A67 P6 3-5
3 A23 P8 3-5
19 A38 P2 3-5
12 A83 P7 3-5
29 A31 P10 3-5
12 A18 P6 1-3
19 A79 P5 1-3
3 A89 P3 1-3
25 A46 P3 1-3
11 A88 P10 1-3
24 A44 P1 3-5
22 A82 P6 3-5
13 A49 P7 9-12
2 A54 P7 1-3
14 A15 P3 3-5
21 A91 P10 3-5
13 A6 P9 3-5
8 A1 P7 9-12
11 A70 P1 3-5
4 A95 P4 1-3
6 A85 P9 1-3
24 A33 P7 1-3
19 A0 P8 1-3
12 A68 P8 3-5
17 A49 P7 9-12
15 A61 P2 3-5
10 A70 P10 1-3
2 A91 P6 1-3
9 A84 P7 3-5
22 A3 P1 9-12
10 A53 P5 9-12
17 A14 P6 9-12
26 A13 P8 3-5
25 A40 P7 9-12
9 A69 P6 3-5
28 A2 P6 1-3
11 A25 P3 3-5
7 A74 P8 9-12
9 A92 P8 9-12
4 A79 P10 9-12
23 A88 P1 3-5
12 A33 P3 9-12
8 A44 P8 1-3
17 A93 P3 1-3
6 A15 P6 3-5
18 A50 P2 1-3
30 A66 P4 3-5
23 A86 P1 3-5
21 A81 P10 3-5
21 A52 P1 3-5
24 A55 P8 1-3
6 A74 P6 9-12
9 A54 P4 3-5
17 A23 P5 9-12
13 A26 P7 9-12
20 A27 P10 3-5
12 A23 P2 3-5
24 A63 P2 1-3
25 A42 P10 3-5
25 A89 P10 1-3
20 A87 P4 9-12
5 A39 P7 9-12
21 A92 P9 1-3
10 A31 P8 1-3
11 A47 P8 3-5
3 A79 P9 1-3
4 A91 P10 3-5
20 A57 P4 3-5
17 A33 P1 9-12
15 A32 P8 9-12
27 A5 P3 9-12
7 A59 P8 1-3
20 A37 P3 3-5
19 A92 P10 9-12
30 A42 P2 3-5
20 A21 P1 3-5
2 A61 P10 3-5
27 A63 P6 1-3
11 A62 P4 9-12
1 A50 P6 1-3
10 A14 P7 9-12
8 A81 P7 3-5
30 A40 P6 1-3
30 A76 P7 3-5
18 A11 P2 1-3
14 A23 P3 9-12
21 A71 P1 1-3
9 A25 P8 1-3
30 A30 P4 1-3
12 A36 P10 9-12
25 A95 P4 3-5
1 A85 P8 1-3
3 A64 P10 1-3
6 A91 P9 3-5
13 A24 P5 3-5
1 A25 P9 3-5
1 A80 P8 9-12
12 A2 P6 3-5
4 A18 P1 3-5
3 A65 P10 3-5
5 A32 P4 3-5
24 A91 P10 1-3
29 A56 P6 3-5
1 A88 P1 3-5
8 A44 P8 1-3
12 A7 P1 9-12
30 A90 P9 1-3
30 A35 P4 3-5
28 A68 P10 9-12
10 A83 P7 9-12
18 A1 P7 3-5
5 A90 P9 1-3
16 A57 P5 3-5
16 A43 P9 1-3
20 A16 P2 3-5
25 A74 P3 9-12
5 A62 P2 9-12
23 A30 P4 9-12
4 A37 P5 1-3
22 A23 P1 9-12
8 A10 P9 9-12
18 A96 P6 3-5
28 A95 P9 3-5
22 A88 P1 1-3
25 A81 P10 3-5
1 A85 P10 1-3
24 A57 P7 3-5
16 A86 P9 1-3
3 A32 P1 9-12
17 A23 P1 9-12
13 A99 P10 9-12
13 A22 P9 1-3
29 A64 P3 9-12
16 A64 P10 1-3
17 A94 P5 1-3
23 A38 P4 3-5
18 A83 P7 1-3
8 A32 P5 3-5
2 A42 P6 9-12
19 A8 P2 1-3
3 A66 P5 1-3
22 A97 P4 9-12
22 A34 P5 1-3
22 A29 P1 1-3
14 A37 P3 1-3
16 A54 P2 1-3
16 A75 P8 1-3
22 A6 P1 9-12
2 A11 P6 1-3
29 A84 P6 3-5
2 A2 P8 9-12
3 A66 P3 3-5
21 A1 P2 3-5
4 A41 P4 1-3
10 A65 P10 3-5
16 A61 P7 3-5
7 A48 P7 9-12
13 A64 P7 1-3
9 A56 P8 3-5
14 A7 P2 9-12
9 A35 P2 1-3
21 A72 P8 3-5
3 A29 P3 9-12
22 A98 P3 9-12
16 A52 P1 3-5
10 A65 P5 1-3
14 A38 P4 3-5
9 A59 P6 3-5
29 A47 P2 1-3
8 A45 P8 3-5
7 A5 P10 1-3
27 A46 P5 1-3
28 A85 P8 1-3
9 A65 P8 1-3
14 A43 P6 9-12
3 A1 P7 3-5
16 A13 P8 9-12
16 A68 P3 9-12
2 A97 P2 9-12
18 A70 P5 1-3
26 A64 P3 3-5
6 A82 P6 3-5
28 A63 P3 1-3
